wallet,amount
F1MpP53d6kq1BcrLKFFRovH38JiNEGW6HtwgCUAVUzc4,50000
2xatuTXdFFxFbTTKbtvQjpef64jfttTVmU8tjb418CmB,50000
5Zcs1HXGDA8CjYXrfUBD6jQrp28fmrGUYpT43AVPwAvB,50000
FaVanpmmVVjE3zLkqyNXgGjm8hNcGcP8a1vPNTEPpjzn,75000
4ezDfzhrAiyxU67di2VCTogmmRBHwRNu1y1mqF2yxseX,50000
44CUmDvFZRDV2bcmWokDyNx8tMZPgkEgrms5zXzv71Gz,75000
HCesyLCZmgsxpwrjpyzkJ1sVRyn2DimCaFzCUbC8vQ9W,75000
2iXMrEGcvzA639ZRso8KWWfd5AiaM5keQfeP8Nz1HmsG,275000
9GdSLsUzb1ScyweBZDEDiuxUCMjMsAsf8KQxA6uXA4AB,275000
A1Xy8cQGqAqpXK6hWthwmwKhhixAYPUTxhUEoJk6z5Pj,50000
AWrQu6VDUB7HhD7cHf5RUt4QWU9cd7hEXvmg4BrtFxCP,150000
5rAKyZrdKwT5mFsr515R5v5CiE7kUCAJUuaGfC7tmi3s,50000
AhUUpGckodKTSaTRt1qRXM2vEHVFH1pS5d23A6kjq4mG,25000
5Wa7Wvus7pXuj2mndLmgAKLRMQxTSZWAbJpX5bTfRUVn,275000
4wkstcy95P72va1hg432RpZ1Yfg7RZEhw4rytuCDgU7Z,50000
GY3d2EF743tJ8cQ3v1GyyxfzqF97hDy5ugGdiJCsMfez,50000
Hr64B31wVrCKnXpYEUCZ2R9P2qKcw3Tik7fT9FVEcP6h,150000
ExPCSR6pxyMTexYRbZpXgpHUUYtiGL6fT7znzTfaFDNe,750000
CoR46NjnyV6M5N8sc9xBwfyL1KbHbSwQ9we75KHKftxV,50000
5L6w3DbqnFo62EWM9n14XWhuNex93w7U4V7ZQpq17zVU,125000
wgrhD7g4iUMZAqR59BEH22Qg3ZRYi7VPESHGA9Q6PW9,50000
9Tg57wQhc8NxNg6EbRAXDFLh7Wdtq2qr4LRhJUH75xWo,125000
3rvHRmV5nZ7P63CLLTHNsrVUE8AkkXvqyVGXZtuLQRNq,550000
C6a58SdzxAXhwdmBogHcA32GVoeGDrZb3GqYwjfCmaLs,50000
Bko5dABqe6UrmpdF8tgDpLxVetBkUbQTEzhYkbCUkhJU,50000
6D3Mykn5UnnSwSDuKsgbSsqe3pw8dvDYYx3VPQRyLp6D,50000
DGvUcFb3bBrmnNooQj8e9WQ86TY11AjF3dmkbhYDLLcs,25000
C18Ly6aALHANu6ehoHnKkbYQfz7jSowwUURdh3qAEYKM,25000
GcJDFrCNeAdh3jDaTLDnazMz1KVoGzYi21okWGmt6q9Y,25000
5UMPqJEKdXLdBciKApDQSejoE85xYU79qB4BcSCHFKF,25000
5Fg9uSXrm92r9CLJKsMDs7MUVzkAshRxaPRJj8WQWLkp,50000
4Pdbp7wTu8doVqqUoo1HkQJf3tNUbUzxKAGuCZmBya6o,25000
AMHtKY13vTbHhrac32gUcpxoJCFm8DyzDz9Mh2zaDA7U,25000
vHUSRD3q42LtwuVURQ6VGTzppMFWZ4tBnhdCePbjEsY,25000
Eknh8yLusHufAnGGvTBj9XnHwqerGhDVm9GqYJX6uZie,50000
2g7jdZMUNzvQQ1NNHq4My4sCvEitjb1CisiqAojVu9ur,275000
EiW6XdMxhJzdNewsJwnGkqNZCo51fUMRxd2ntPpcHLfU,25000
DwwPdm4YPBWckyUfkJU4zZCWRWxyjtTNWE3vMjpYuLey,75000
GVCXfmRoSciykw7DvsYQZu6mmHEpVTAkdJ9cT2rmgCem,25000
Ap3bcWSDTZ5JwUnp57dXznDXkpbifV2EMtrSrpbartVi,25000
6FmYKVcA4s8VFiuGxJoiqgx9xT3EpoWDB1FAocw7DkCY,50000
Rezp49xpXmFiGCJUhEPm1QVWgneN6Wdvzae4pa6XxTy,50000
82CxgD2iwjWZHoXCExmhEWv9Ap2XC9KHPRMQLnsWJSxW,25000
9UaG6xBnkd4mq6LKXMDtvrbkdRoFmHsNSThy8YbgWBoD,75000
4ydyBRayb9eBpzmfVShstcxC7Fn8CMMzufpLXcPQTG3G,50000
3DFFieyACD1csiJh5LQjwF5bKyj3nMxLZCxE7LtNmSgE,50000
DePKNvmff2rGWY76eMuLNLXdoCrZK7TcMLcpkeQxPDk5,25000
C19Vbh2dx51Eb414K4EAtiEGJqERBmVAdrBp6md4FzVD,50000
AaKL2cabF6PUruNeDifNgG6Cg7Wp2i3PfxczkPJBSvhg,50000
GDFLRL24cDuzPMv9iiaJKayc5jVG2e9aoqNeU7BGSvz1,50000
9SCGabbnVsWd8c6FEQGjj8pjE6yJRfZven5hMzXeke9y,25000
8jQy9JevprW42Njb3HqBZpCzaeR84BPedxVs5TkyrJEa,25000
H5z9ceqgKw3ZTJYXsYFGXn4BJVtz5zcZYNjriBULLHBv,25000
